location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Afghanistan,4/2/2020,26,0,38928341,2.581,1803.987,0.5
Afghanistan,4/3/2020,43,0,38928341,2.581,1803.987,0.5
Afghanistan,4/4/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,4/5/2020,35,1,38928341,2.581,1803.987,0.5
Afghanistan,4/6/2020,29,2,38928341,2.581,1803.987,0.5
Afghanistan,4/7/2020,38,0,38928341,2.581,1803.987,0.5
Afghanistan,4/8/2020,30,4,38928341,2.581,1803.987,0.5
Afghanistan,4/9/2020,56,3,38928341,2.581,1803.987,0.5
Afghanistan,4/10/2020,61,1,38928341,2.581,1803.987,0.5
Afghanistan,4/11/2020,37,0,38928341,2.581,1803.987,0.5
Afghanistan,4/12/2020,34,3,38928341,2.581,1803.987,0.5
Afghanistan,4/13/2020,52,0,38928341,2.581,1803.987,0.5
Afghanistan,4/14/2020,58,3,38928341,2.581,1803.987,0.5
Afghanistan,4/15/2020,49,2,38928341,2.581,1803.987,0.5
Afghanistan,4/16/2020,70,2,38928341,2.581,1803.987,0.5
Afghanistan,4/17/2020,10,4,38928341,2.581,1803.987,0.5
Afghanistan,4/18/2020,51,1,38928341,2.581,1803.987,0.5
Afghanistan,4/19/2020,63,0,38928341,2.581,1803.987,0.5
Afghanistan,4/20/2020,88,3,38928341,2.581,1803.987,0.5
Afghanistan,4/21/2020,35,2,38928341,2.581,1803.987,0.5
Afghanistan,4/22/2020,61,1,38928341,2.581,1803.987,0.5
Afghanistan,4/23/2020,84,4,38928341,2.581,1803.987,0.5
Afghanistan,4/24/2020,105,2,38928341,2.581,1803.987,0.5
Afghanistan,4/25/2020,70,1,38928341,2.581,1803.987,0.5
Afghanistan,4/26/2020,112,4,38928341,2.581,1803.987,0.5
Afghanistan,4/27/2020,68,10,38928341,2.581,1803.987,0.5
Afghanistan,4/28/2020,172,0,38928341,2.581,1803.987,0.5
Afghanistan,4/29/2020,124,3,38928341,2.581,1803.987,0.5
Afghanistan,4/30/2020,122,0,38928341,2.581,1803.987,0.5
Afghanistan,5/1/2020,222,4,38928341,2.581,1803.987,0.5
Afghanistan,5/2/2020,164,4,38928341,2.581,1803.987,0.5
Afghanistan,5/3/2020,134,4,38928341,2.581,1803.987,0.5
Afghanistan,5/4/2020,235,13,38928341,2.581,1803.987,0.5
Afghanistan,5/5/2020,190,5,38928341,2.581,1803.987,0.5
Afghanistan,5/6/2020,330,5,38928341,2.581,1803.987,0.5
Afghanistan,5/7/2020,168,9,38928341,2.581,1803.987,0.5
Afghanistan,5/8/2020,171,2,38928341,2.581,1803.987,0.5
Afghanistan,5/9/2020,215,3,38928341,2.581,1803.987,0.5
Afghanistan,5/10/2020,255,6,38928341,2.581,1803.987,0.5
Afghanistan,5/11/2020,369,5,38928341,2.581,1803.987,0.5
Afghanistan,5/12/2020,285,2,38928341,2.581,1803.987,0.5
Afghanistan,5/13/2020,280,5,38928341,2.581,1803.987,0.5
Afghanistan,5/14/2020,259,3,38928341,2.581,1803.987,0.5
Afghanistan,5/15/2020,113,6,38928341,2.581,1803.987,0.5
Afghanistan,5/16/2020,1063,32,38928341,2.581,1803.987,0.5
Afghanistan,5/17/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,5/18/2020,262,1,38928341,2.581,1803.987,0.5
Afghanistan,5/19/2020,408,4,38928341,2.581,1803.987,0.5
Afghanistan,5/20/2020,581,5,38928341,2.581,1803.987,0.5
Afghanistan,5/21/2020,492,9,38928341,2.581,1803.987,0.5
Afghanistan,5/22/2020,531,6,38928341,2.581,1803.987,0.5
Afghanistan,5/23/2020,540,12,38928341,2.581,1803.987,0.5
Afghanistan,5/24/2020,782,11,38928341,2.581,1803.987,0.5
Afghanistan,5/25/2020,584,2,38928341,2.581,1803.987,0.5
